date,pct_return
2023-01-31,6.93
2023-02-28,-2.40
2023-03-31,2.71
2023-04-30,1.08
2023-05-31,0.43
2023-06-30,6.73
2023-07-31,3.66
2023-08-31,-1.93
2023-09-30,-4.79
2023-10-31,-2.65
2023-11-30,9.42
2023-12-31,5.29
